Suburb,Address,Rooms,Price,Method,Type,SellerG,Date,Distance,Regionname,Propertycount,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lat,Lng
Abbotsford,6/219 Nicholson St,2,500000,S,u,Collins,18/06/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,0,1970,Yarra,-37.8015,144.9972
Abbotsford,52a William St,2,1100000,PI,h,Biggin,18/06/2016,2.5,Northern Metropolitan,4019,3067,2,2,1,124,2013,Yarra,-37.8079,144.9977
Abbotsford,49 Park St,2,1315000,S,h,Marshall,19/11/2016,2.5,Northern Metropolitan,4019,3067,2,1,0,147,1900,Yarra,-37.808,144.994
Abbotsford,5/20 Abbotsford St,1,426000,SP,u,Greg,22/08/2016,2.5,Northern Metropolitan,4019,3067,1,1,1,0,2022,Yarra,-37.8016,144.9988
Abbotsford,48 Abbotsford St,3,1447500,PI,h,Nelson,22/08/2016,2.5,Northern Metropolitan,4019,3067,3,3,1,166,2012,Yarra,-37.8017,145.0001
Abbotsford,116/56 Nicholson St,1,457000,S,u,Jellis,22/08/2016,2.5,Northern Metropolitan,4019,3067,1,1,1,0,2022,Yarra,-37.8078,144.9965
Abbotsford,159 Park St,2,1135000,S,h,Nelson,22/08/2016,2.5,Northern Metropolitan,4019,3067,2,2,2,98,1920,Yarra,-37.8005,144.9952
Abbotsford,31 Turner St,4,1542000,S,h,Collins,24/09/2016,2.5,Northern Metropolitan,4019,3067,4,3,1,0,2022,Yarra,-37.7994,144.9965
Abbotsford,166 Gipps St,3,1290000,S,h,Biggin,25/02/2017,2.5,Northern Metropolitan,4019,3067,3,2,2,147,2022,Yarra,-37.805,144.9943
Abbotsford,60 Stafford St,3,1290000,S,h,Biggin,25/02/2017,2.5,Northern Metropolitan,4019,3067,3,1,1,168,1950,Yarra,-37.8007,144.9958
Abbotsford,11/205 Gipps St,1,470000,S,u,Nelson,26/07/2016,2.5,Northern Metropolitan,4019,3067,1,1,1,0,2013,Yarra,-37.8055,144.9961
Abbotsford,47 Studley St,2,1180000,S,h,Jellis,27/11/2016,2.5,Northern Metropolitan,4019,3067,2,1,0,162,1900,Yarra,-37.8016,144.9956
Abbotsford,45 Yarra St,3,1195000,SP,h,Jellis,27/11/2016,2.5,Northern Metropolitan,4019,3067,3,2,1,120,1998,Yarra,-37.8022,144.9954
Abbotsford,200 Nicholson St,2,1012500,S,h,Nelson,28/05/2016,2.5,Northern Metropolitan,4019,3067,2,1,0,182,1900,Yarra,-37.8021,144.9976
Abbotsford,27 Charles St,2,1030000,S,h,Biggin,30/07/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,172,1930,Yarra,-37.8086,144.9946
Airport West,154 Halsey Rd,3,840000,PI,t,Nelson,3/9/2016,13.5,Western Metropolitan,3464,3042,3,2,1,303,2016,Moonee Valley,-37.718,144.878
Airport West,50 Bedford St,3,730000,VB,h,Nelson,3/12/2016,13.5,Western Metropolitan,3464,3042,3,2,1,0,1965,Moonee Valley,-37.7203,144.8755
Airport West,50 Bedford St,3,770000,SP,h,Nelson,4/3/2017,13.5,Western Metropolitan,3464,3042,3,2,1,0,1965,Moonee Valley,-37.7203,144.8755
Airport West,23 Hart St,2,603000,S,h,Nelson,4/3/2017,13.5,Western Metropolitan,3464,3042,2,1,1,272,1950,Moonee Valley,-37.7294,144.888
Airport West,1/80 Hawker St,3,700000,S,t,Brad,4/3/2017,13.5,Western Metropolitan,3464,3042,3,2,2,239,2009,Moonee Valley,-37.7218,144.8837
Airport West,1/37 Hillside Gr,3,600000,S,h,Maddison,4/3/2017,13.5,Western Metropolitan,3464,3042,2,1,1,290,1980,Moonee Valley,-37.7273,144.8744
Airport West,2/49 McIntosh St,2,500000,VB,u,Barry,4/3/2017,13.5,Western Metropolitan,3464,3042,2,1,1,168,2011,Moonee Valley,-37.7215,144.8864
Airport West,54 Marshall Rd,3,720000,S,h,Barry,6/8/2016,13.5,Western Metropolitan,3464,3042,2,1,1,620,2022,Moonee Valley,-37.7173,144.8872
Airport West,36 Roberts Rd,4,785000,S,h,Considine,6/8/2016,13.5,Western Metropolitan,3464,3042,3,1,2,597,2022,Moonee Valley,-37.7259,144.8792
Airport West,11 Harrington Rd,6,725000,SP,h,Barry,7/5/2016,13.5,Western Metropolitan,3464,3042,6,3,2,976,1980,Moonee Valley,-37.7239,144.8735
Airport West,2/252 Parer Rd,2,450000,S,t,Barry,7/5/2016,13.5,Western Metropolitan,3464,3042,2,1,1,110,2015,Moonee Valley,-37.7216,144.871
Airport West,3/19 Hart St,2,515000,S,u,Barry,7/11/2016,13.5,Western Metropolitan,3464,3042,2,1,1,141,2013,Moonee Valley,-37.7298,144.8883
Airport West,2/62 Clydesdale Rd,2,530000,S,u,Nelson,10/9/2016,13.5,Western Metropolitan,3464,3042,2,1,1,120,2012,Moonee Valley,-37.7234,144.8792
Airport West,3 Deidre Ct,3,895000,PI,h,Rendina,10/9/2016,13.5,Western Metropolitan,3464,3042,3,1,6,1063,1975,Moonee Valley,-37.7249,144.8728
Airport West,13 Etzel St,3,805000,S,h,Nelson,10/12/2016,13.5,Western Metropolitan,3464,3042,3,1,1,0,1950,Moonee Valley,-37.7217,144.8783
Airport West,1/43 Cameron St,3,752000,S,u,Nelson,11/2/2017,13.5,Western Metropolitan,3464,3042,3,1,1,265,1993,Moonee Valley,-37.7302,144.8855
Airport West,145a Victory Rd,2,440000,S,u,Barry,13/08/2016,13.5,Western Metropolitan,3464,3042,2,1,1,192,2022,Moonee Valley,-37.7177,144.8787
Airport West,241 Parer Rd,5,755000,PI,h,Propertyau,14/05/2016,13.5,Western Metropolitan,3464,3042,3,2,2,596,2022,Moonee Valley,-37.7248,144.8699
Airport West,2/40 Earl St,3,700000,PI,t,Brad,15/10/2016,13.5,Western Metropolitan,3464,3042,3,2,2,165,2009,Moonee Valley,-37.727,144.887
Airport West,180 Parer Rd,3,830000,S,h,Barry,16/04/2016,13.5,Western Metropolitan,3464,3042,3,1,2,971,1960,Moonee Valley,-37.7186,144.876
Airport West,4/54 Hawker St,2,462500,S,u,Barry,16/07/2016,13.5,Western Metropolitan,3464,3042,2,1,1,164,2003,Moonee Valley,-37.7218,144.8863
Airport West,43 Hillside Gr,3,670000,SP,h,Barry,16/07/2016,13.5,Western Metropolitan,3464,3042,3,2,2,657,2022,Moonee Valley,-37.7269,144.8742
Airport West,174 Parer Rd,2,675000,S,h,Barry,16/07/2016,13.5,Western Metropolitan,3464,3042,2,1,1,612,1975,Moonee Valley,-37.7187,144.8765
Airport West,138 Victory Rd,3,1042000,S,h,Nelson,16/07/2016,13.5,Western Metropolitan,3464,3042,3,2,5,612,1950,Moonee Valley,-37.7173,144.8796
Airport West,75 King St,3,910000,S,h,McDonald,17/09/2016,13.5,Western Metropolitan,3464,3042,3,1,1,775,2022,Moonee Valley,-37.7231,144.8835
Airport West,6 Kittyhawk St,4,773000,S,h,Brad,17/09/2016,13.5,Western Metropolitan,3464,3042,5,3,4,531,1980,Moonee Valley,-37.7263,144.8679
Airport West,478 Fullarton Rd,3,810000,PI,h,Barry,18/03/2017,13.5,Western Metropolitan,3464,3042,3,3,2,555,1980,Moonee Valley,-37.7285,144.8694
Airport West,144 Marshall Rd,3,715000,S,h,Rendina,18/03/2017,13.5,Western Metropolitan,3464,3042,3,2,2,422,1995,Moonee Valley,-37.7164,144.8792
Airport West,106 Parer Rd,3,790000,S,h,Nelson,18/03/2017,13.5,Western Metropolitan,3464,3042,3,1,3,614,2022,Moonee Valley,-37.7194,144.8827
Airport West,3/7 South Rd,3,540000,SP,t,Nelson,18/06/2016,13.5,Western Metropolitan,3464,3042,2,2,1,161,2010,Moonee Valley,-37.7231,144.8802
Airport West,37 North St,3,825000,SP,t,Barry,19/11/2016,13.5,Western Metropolitan,3464,3042,3,2,1,293,1960,Moonee Valley,-37.72,144.8776
Airport West,10 Hilbert Rd,3,685000,S,h,Barry,22/05/2016,13.5,Western Metropolitan,3464,3042,3,1,1,579,1975,Moonee Valley,-37.7226,144.8733
Airport West,110 Halsey Rd,3,805000,S,h,Barry,22/08/2016,13.5,Western Metropolitan,3464,3042,3,1,1,623,2022,Moonee Valley,-37.7184,144.882
Airport West,2/13 North St,2,510000,S,u,Nelson,22/08/2016,13.5,Western Metropolitan,3464,3042,2,1,1,141,2022,Moonee Valley,-37.7202,144.8797
Airport West,105a Victory Rd,3,612000,S,h,Nelson,22/08/2016,13.5,Western Metropolitan,3464,3042,3,2,1,212,2022,Moonee Valley,-37.7181,144.8824
Airport West,117 Marshall Rd,3,662000,S,h,Brad,23/04/2016,13.5,Western Metropolitan,3464,3042,3,1,2,612,2022,Moonee Valley,-37.7169,144.8815
Airport West,34 Moorna Dr,4,978000,S,h,Nelson,24/09/2016,13.5,Western Metropolitan,3464,3042,4,3,2,532,2022,Moonee Valley,-37.7263,144.869
Airport West,33 North St,3,720000,PI,h,Nelson,25/02/2017,13.5,Western Metropolitan,3464,3042,3,1,1,585,2022,Moonee Valley,-37.72,144.878
Airport West,49 Roberts Rd,4,765000,S,h,Prof.,27/11/2016,13.5,Western Metropolitan,3464,3042,4,1,2,509,2022,Moonee Valley,-37.7261,144.8785
Airport West,85 Roberts Rd,4,900000,S,h,Harcourts,27/11/2016,13.5,Western Metropolitan,3464,3042,4,2,3,628,1975,Moonee Valley,-37.7256,144.8739
Albert Park,105 Kerferd Rd,2,1275000,S,h,hockingstuart,3/9/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,120,1900,Port Phillip,-37.8459,144.9555
Albert Park,85 Richardson St,2,1455000,S,h,Thomson,3/9/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,159,2022,Port Phillip,-37.845,144.9538
Albert Park,112 Beaconsfield Pde,3,2850000,PI,h,Buxton,4/3/2017,3.3,Southern Metropolitan,3280,3206,3,2,0,211,1890,Port Phillip,-37.8481,144.9499
Albert Park,94 Graham St,3,1850000,S,h,Greg,4/3/2017,3.3,Southern Metropolitan,3280,3206,3,2,0,128,1890,Port Phillip,-37.8452,144.9488
Albert Park,396 Montague St,2,1436000,S,h,RT,4/3/2017,3.3,Southern Metropolitan,3280,3206,2,1,0,130,1900,Port Phillip,-37.8431,144.9565
Albert Park,75 Graham St,2,1110000,S,h,Marshall,6/8/2016,3.3,Southern Metropolitan,3280,3206,1,1,0,147,1900,Port Phillip,-37.8444,144.9484
Albert Park,54 Brooke St,2,1550000,S,h,Sotheby's,7/5/2016,3.3,Southern Metropolitan,3280,3206,2,1,1,167,2022,Port Phillip,-37.8405,144.9521
Albert Park,104 Richardson St,4,2300000,S,h,Marshall,7/5/2016,3.3,Southern Metropolitan,3280,3206,4,2,1,153,1880,Port Phillip,-37.8447,144.9523
Albert Park,4a Mills St,3,1550000,VB,t,Marshall,7/11/2016,3.3,Southern Metropolitan,3280,3206,3,2,2,718,2022,Port Phillip,-37.8443,144.9598
Albert Park,1 Moubray St,3,1800000,VB,h,Greg,7/11/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,132,1996,Port Phillip,-37.8415,144.952
Albert Park,29 Faussett St,2,2120000,S,h,Greg,10/9/2016,3.3,Southern Metropolitan,3280,3206,2,1,1,199,1900,Port Phillip,-37.8422,144.9554
Albert Park,3 Herbert St,3,1800000,VB,h,Cayzer,10/9/2016,3.3,Southern Metropolitan,3280,3206,3,1,1,253,2022,Port Phillip,-37.8443,144.9579
Albert Park,24 Kerferd Pl,3,1800000,S,h,Marshall,10/9/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,90,1900,Port Phillip,-37.8421,144.9571
Albert Park,44 Draper St,2,1810000,PI,h,Greg,10/12/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,240,2022,Port Phillip,-37.8379,144.9539
Albert Park,2 Dundas Pl,3,2615000,S,h,Cayzer,10/12/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,177,1880,Port Phillip,-37.8415,144.9585
Albert Park,23 Finlay St,5,2100000,S,h,Greg,10/12/2016,3.3,Southern Metropolitan,3280,3206,5,2,1,237,2022,Port Phillip,-37.8436,144.9557
Albert Park,31 Richardson St,3,1300000,S,h,hockingstuart,10/12/2016,3.3,Southern Metropolitan,3280,3206,3,1,0,129,2022,Port Phillip,-37.8422,144.949
Albert Park,4a Gatehouse La,3,1370000,S,h,Greg,12/6/2016,3.3,Southern Metropolitan,3280,3206,3,2,2,0,2000,Port Phillip,-37.8451,144.9511
Albert Park,60 Brooke St,2,1000000,S,h,Cayzer,12/11/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,288,2022,Port Phillip,-37.8407,144.9523
Albert Park,70 Barrett St,3,2575000,S,h,Greg,15/10/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,228,2022,Port Phillip,-37.8445,144.9501
Albert Park,65 Graham St,2,1322500,S,h,Greg,15/10/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,149,1890,Port Phillip,-37.8443,144.9481
Albert Park,364 Montague St,2,1562500,S,h,Greg,15/10/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,141,1890,Port Phillip,-37.8424,144.9562
Albert Park,86 Mills St,3,2000000,VB,h,RT,16/04/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,211,1900,Port Phillip,-37.847,144.9575
Albert Park,129 Kerferd Rd,3,1900000,S,h,Greg,18/03/2017,3.3,Southern Metropolitan,3280,3206,3,1,0,209,1900,Port Phillip,-37.8468,144.9546
Albert Park,97 Page St,3,3010000,S,h,Greg,18/03/2017,3.3,Southern Metropolitan,3280,3206,3,2,0,147,1890,Port Phillip,-37.8473,144.9551
Albert Park,55 Withers St,4,2800000,VB,h,Cayzer,18/06/2016,3.3,Southern Metropolitan,3280,3206,4,3,1,327,1910,Port Phillip,-37.8467,144.9475
Albert Park,10/140 Kerferd Rd,2,647000,S,u,Greg,22/05/2016,3.3,Southern Metropolitan,3280,3206,2,1,1,0,2022,Port Phillip,-37.846,144.9542
Albert Park,55 Merton St,3,2100000,SP,h,Marshall,23/04/2016,3.3,Southern Metropolitan,3280,3206,2,1,1,120,1900,Port Phillip,-37.8427,144.9546
Albert Park,49 Page St,3,2000000,PI,h,Marshall,24/09/2016,3.3,Southern Metropolitan,3280,3206,3,1,1,238,1890,Port Phillip,-37.8461,144.9528
Albert Park,13/52 Moubray St,1,442500,S,u,Marshall,25/02/2017,3.3,Southern Metropolitan,3280,3206,1,1,0,0,1970,Port Phillip,-37.8421,144.9517
Albert Park,115 Page St,4,4735000,S,h,Marshall,25/02/2017,3.3,Southern Metropolitan,3280,3206,4,2,1,330,1910,Port Phillip,-37.8477,144.9558
Albert Park,32 Page St,2,1340000,S,h,Greg,25/02/2017,3.3,Southern Metropolitan,3280,3206,2,1,0,136,2022,Port Phillip,-37.846,144.9517
Albert Park,34 Richardson St,3,1801000,S,h,hockingstuart,25/02/2017,3.3,Southern Metropolitan,3280,3206,3,1,1,202,2022,Port Phillip,-37.8429,144.9493
Albert Park,2b Dundas Pl,3,1532000,S,h,Chisholm,26/07/2016,3.3,Southern Metropolitan,3280,3206,3,3,1,0,2022,Port Phillip,-37.8415,144.9585
Albert Park,22 Greig St,3,3755000,S,h,Greg,26/07/2016,3.3,Southern Metropolitan,3280,3206,3,2,2,325,2022,Port Phillip,-37.8413,144.95
Albert Park,27 Barrett St,4,2140000,S,h,Greg,27/06/2016,3.3,Southern Metropolitan,3280,3206,3,2,1,183,1880,Port Phillip,-37.8434,144.9495
Albert Park,44 Greig St,2,1750000,S,h,Marshall,27/11/2016,3.3,Southern Metropolitan,3280,3206,2,1,1,162,2022,Port Phillip,-37.8416,144.9488
Albert Park,6 Brooke St,2,980000,S,h,Greg,28/05/2016,3.3,Southern Metropolitan,3280,3206,2,1,0,79,1890,Port Phillip,-37.8387,144.9519
Albert Park,227a Danks St,3,2030000,S,h,hockingstuart,28/08/2016,3.3,Southern Metropolitan,3280,3206,3,2,0,152,2022,Port Phillip,-37.8488,144.9551
Albert Park,17 Reed St,3,1740000,PI,h,Marshall,28/08/2016,3.3,Southern Metropolitan,3280,3206,3,2,2,147,1890,Port Phillip,-37.8448,144.9453
Albert Park,74 Bridport St,3,2800000,VB,h,Buxton,30/07/2016,3.3,Southern Metropolitan,3280,3206,3,3,1,0,2022,Port Phillip,-37.8399,144.9577
Albert Park,9 Durham St,1,985000,S,h,Marshall,30/07/2016,3.3,Southern Metropolitan,3280,3206,1,1,0,81,1900,Port Phillip,-37.8411,144.9497
Alphington,6 Smith St,4,2000000,S,h,Brace,3/9/2016,6.4,Northern Metropolitan,2211,3078,3,2,4,853,1930,Darebin,-37.7707,145.0318
Alphington,5/6 Yarralea St,3,1110000,S,h,Jellis,3/9/2016,6.4,Northern Metropolitan,2211,3078,3,2,2,208,2013,Yarra,-37.7854,145.0325
Alphington,136A Fulham Rd,3,1492000,S,h,Jellis,4/3/2017,6.4,Northern Metropolitan,2211,3078,3,2,2,411,2022,Darebin,-37.7713,145.0279
Alphington,44 Shiers St,4,1717500,S,h,Collins,8/10/2016,6.4,Northern Metropolitan,2211,3078,4,2,1,599,1925,Darebin,-37.7717,145.031
Alphington,83 Fulham Rd,5,2840000,S,h,Nelson,12/6/2016,6.4,Northern Metropolitan,2211,3078,5,4,4,809,1910,Darebin,-37.775,145.0268
Alphington,3/19 Harker St,2,525500,S,u,Miles,12/11/2016,6.4,Northern Metropolitan,2211,3078,2,1,1,88,1960,Darebin,-37.7791,145.0306
Alphington,4/2 Miller St,2,805000,S,t,Miles,12/11/2016,6.4,Northern Metropolitan,2211,3078,2,2,3,155,2004,Darebin,-37.7804,145.0308
Alphington,2/5 Yarana Rd,2,465000,S,u,McGrath,12/11/2016,6.4,Northern Metropolitan,2211,3078,2,1,1,0,2022,Darebin,-37.7773,145.0314
Alphington,815 Heidelberg Rd,3,2000000,PI,h,hockingstuart,15/10/2016,6.4,Northern Metropolitan,2211,3078,3,3,2,686,2022,Darebin,-37.78,145.0341
Alphington,44 Naroon Rd,3,1540000,S,h,Nelson,16/04/2016,6.4,Northern Metropolitan,2211,3078,3,1,2,592,2022,Darebin,-37.7755,145.0288
Alphington,3/98 Grange Rd,2,820000,S,u,Nelson,18/03/2017,6.4,Northern Metropolitan,2211,3078,2,1,1,183,2022,Darebin,-37.7747,145.0264
Alphington,10 Bennett St,4,1830000,S,h,Nelson,19/11/2016,6.4,Northern Metropolitan,2211,3078,4,2,2,606,1970,Darebin,-37.7743,145.0316
Alphington,38 Bennett St,4,2100000,S,h,Nelson,19/11/2016,6.4,Northern Metropolitan,2211,3078,4,2,2,575,2008,Darebin,-37.7723,145.0319
Alphington,2c Hamilton St,3,865000,SP,h,hockingstuart,22/05/2016,6.4,Northern Metropolitan,2211,3078,3,1,1,180,2010,Darebin,-37.7802,145.0243
Alphington,5/5 Yarana Rd,2,390000,VB,u,Nelson,22/05/2016,6.4,Northern Metropolitan,2211,3078,2,1,1,0,1960,Darebin,-37.7773,145.0314
Alphington,7/7 Chandler Hwy,2,650000,SP,t,Brace,24/09/2016,6.4,Northern Metropolitan,2211,3078,3,1,0,0,2022,Yarra,-37.7848,145.025
Alphington,1/14 Fulham Rd,2,512000,S,u,Love,25/02/2017,6.4,Northern Metropolitan,2211,3078,2,1,1,0,1965,Darebin,-37.7805,145.0262
Alphington,22 Lowther St,3,1165000,S,h,Barry,27/06/2016,6.4,Northern Metropolitan,2211,3078,3,1,2,979,2022,Yarra,-37.7792,145.029
Alphington,11 Margaret Gr,4,1900000,SP,h,McGrath,27/11/2016,6.4,Northern Metropolitan,2211,3078,4,2,2,556,1930,Yarra,-37.7844,145.0225
Alphington,6 Naroon Rd,3,1485000,SP,h,McGrath,28/08/2016,6.4,Northern Metropolitan,2211,3078,3,1.5,0,597,2022,Darebin,-37.7781,145.0284
Alphington,42 Shiers St,4,1950000,S,h,Jellis,30/07/2016,6.4,Northern Metropolitan,2211,3078,4,2,3,589,1920,Darebin,-37.7719,145.0309
Altona,158 Queen St,3,520000,VB,h,Greg,3/9/2016,13.8,Western Metropolitan,5301,3018,3,2,1,352,2015,Hobsons Bay,-37.87,144.825
Altona,59 Bracken Gr,5,1525000,S,h,Greg,3/12/2016,13.8,Western Metropolitan,5301,3018,5,3,3,729,2005,Hobsons Bay,-37.8721,144.8105
Altona,1/123 Blyth St,2,720000,S,t,hockingstuart,4/2/2016,13.8,Western Metropolitan,5301,3018,2,1,2,292,2013,Hobsons Bay,-37.8687,144.8197
Altona,4 Blyth St,3,1120000,S,h,Barlow,4/3/2017,13.8,Western Metropolitan,5301,3018,3,1,2,506,1930,Hobsons Bay,-37.8693,144.8375
Altona,20 Linnet St,4,780000,PI,h,Sweeney,4/6/2016,13.8,Western Metropolitan,5301,3018,4,1,4,655,2022,Hobsons Bay,-37.868,144.8154
Altona,29 Rose St,4,1780000,SP,h,Greg,4/6/2016,13.8,Western Metropolitan,5301,3018,4,3,6,1057,1962,Hobsons Bay,-37.8681,144.819
Altona,1/170 Blyth St,3,630000,S,u,Barlow,6/8/2016,13.8,Western Metropolitan,5301,3018,2,1,2,311,1955,Hobsons Bay,-37.8702,144.8143
Altona,5/35 Grieve Pde,2,406000,SP,u,hockingstuart,6/8/2016,13.8,Western Metropolitan,5301,3018,2,1,1,65,2022,Hobsons Bay,-37.8693,144.8171
Altona,156 Maidstone St,3,660000,VB,h,Greg,7/5/2016,13.8,Western Metropolitan,5301,3018,3,1,1,602,1955,Hobsons Bay,-37.8616,144.8116
Altona,11 Keeshan Ct,3,683500,S,h,Greg,7/11/2016,13.8,Western Metropolitan,5301,3018,3,1,1,530,2022,Hobsons Bay,-37.8594,144.817
Altona,1/136 Queen St,2,580000,S,u,Barlow,8/10/2016,13.8,Western Metropolitan,5301,3018,2,1,1,225,1988,Hobsons Bay,-37.8696,144.827
Altona,173 Queen St,3,1335000,S,h,hockingstuart,8/10/2016,13.8,Western Metropolitan,5301,3018,3,1,4,777,1953,Hobsons Bay,-37.8697,144.8249
Altona,1/265 Queen St,3,800000,SP,t,hockingstuart,8/10/2016,13.8,Western Metropolitan,5301,3018,3,2,2,280,1997,Hobsons Bay,-37.8734,144.8143
Altona,3/26 Grieve Pde,2,510000,S,u,Village,10/9/2016,13.8,Western Metropolitan,5301,3018,2,1,1,127,1990,Hobsons Bay,-37.8686,144.8182
Altona,261 Queen St,4,1070000,S,h,Barlow,10/9/2016,13.8,Western Metropolitan,5301,3018,4,2,2,695,2022,Hobsons Bay,-37.8733,144.8147
Altona,4/5 Rose St,2,425000,S,u,hockingstuart,10/9/2016,13.8,Western Metropolitan,5301,3018,2,1,2,115,1980,Hobsons Bay,-37.871,144.8185
Altona,1/60 David St,3,605000,S,u,Jas,10/12/2016,13.8,Western Metropolitan,5301,3018,3,2,2,230,2022,Hobsons Bay,-37.8646,144.827
Altona,1A Merritt Ct,3,705000,S,t,hockingstuart,11/2/2017,13.8,Western Metropolitan,5301,3018,3,2,2,197,2022,Hobsons Bay,-37.8579,144.8181
Altona,4/31 Millers Rd,2,391000,SP,u,Greg,11/2/2017,13.8,Western Metropolitan,5301,3018,2,1,1,0,1965,Hobsons Bay,-37.8678,144.8384
Altona,111/112 Pier St,2,440000,SP,u,hockingstuart,11/2/2017,13.8,Western Metropolitan,5301,3018,2,1,1,0,2022,Hobsons Bay,-37.8659,144.831
Altona,24 Wren St,4,845000,S,h,hockingstuart,11/2/2017,13.8,Western Metropolitan,5301,3018,4,1,2,745,1950,Hobsons Bay,-37.8658,144.8155
Altona,1/152 Blyth St,3,743000,SP,t,Gunn&Co,12/11/2016,13.8,Western Metropolitan,5301,3018,3,2,2,211,2022,Hobsons Bay,-37.8698,144.816
